コード,銘柄
328A,ＧＸ価格パ
3290,Ｏｎｅリート
3291,飯田ＧＨＤ
3292,イオンリート
3293,アズマハウス
3294,イーグランド
3295,ヒューリックＲＥ
3296,日本リート
3297,東武住販
3299,ムゲンエステト
329A,ジール
3300,アンビション
3302,帝繊維
3306,日本麻
3309,積水ハウスＲ
330A,ＴａｌｅｎｔＸ
3315,日本コークス
3317,フライングＧ
331A,メディックス
3320,クロスプラス
3321,ミタチ
3323,レカム
3326,ランシステム
3329,東和フード
332A,ミーク
3333,あさひ
333A,テクノスマイル
3349,コスモス薬品
334A,ＶＰＪ
3350,メタプラネット
3352,バッファロー
3353,メディ一光
3355,クリヤマＨＤ
3358,Ｔｒａｉｌｈｅａ
3359,ｃｏｔｔａ
335A,ミライロ
3360,シップＨＤ
3361,トーエル
336A,ダイナミクマ
3370,フジタコーポ
3371,ソフトクリエＨＤ
3372,関門海
3374,内外テック
3375,ＺＯＡ
3377,バイク王
3382,７＆Ｉ－ＨＤ
3386,コスモ・バイオ
3387,クリレスＨＤ
3388,明治電機
338A,Ｚｅｎｍｕ
3391,ツルハＨＤ
3392,デリカフーズ
3393,スターティアＨＤ
3395,サンマルクＨＤ
3396,フェリシモ
3397,トリドールＨＤ
3399,山岡家
339A,プログレス
3401,帝 人
3402,東 レ
3405,クラレ
3407,旭化成
3409,北 紡
340A,ジグザグ
3415,トウキョベース
3416,ピクスタ
3417,大木ヘルケア
3418,バルニバーヒ
341A,トヨコー
3420,ケーエフシー
3421,稲葉製作
3422,Ｊ－ＭＡＸ
3423,エスイー
3426,アトムリビン
3431,宮地エンジ
3433,トーカロ
3434,アルファＣｏ
3435,サンコーテクノ
3436,ＳＵＭＣＯ
3437,特殊電極
3439,三ツ知
343A,ＩＡＣＥトラベ
3440,日創Ｇ
3441,山 王
3443,川田ＴＥＣＨ
3444,菊池製作
3445,ＲＳＴＥＣＨ
3446,ＪＴＥＣＣＯＲＰ
3447,信 和
3448,清鋼材
3449,テクノフレックス
3450,サトウ産業
3451,トーセイ・リート
3452,ビーロット
3454,Ｆブラザース
3455,ＨＣＭ
3457,ＡｎｄＤｏＨＬＤ
3459,サムティレジ
345A,高配当成
3461,パルマ
3462,ＮＭＦ
3463,いちごホテ
3465,ケイアイスター
3466,ラサールロジ
3467,アグレ都市
3468,スターアジア
3469,デュアルタプ
346A,ＳＰ５００半
3470,マリモリート
3471,三井不ＬＰ
3472,日本ホテル
3474,Ｇ－ＦＡＣ
3475,グッドコムＡ
3476,Ｒみらい
3477,フォーライフ
3479,ＴＫＰ
347A,グロースパワ
3480,Ｊ．Ｓ．Ｂ．
3481,三菱物流
3482,ロードスター
3483,翔 栄
3484,イノベーション
3486,グロバルリン
3487,ＣＲＥロジ
3488,セントラルリート
3489,フェイスＮＷ
348A,ＭＸＳ読３３３
3490,アズ企画
3491,ＧＡ ＴＥＣＨ
3492,ＭＩＲＡＲＴＨ
3494,マリオン
3495,香陵住販
3496,アズーム
3498,霞ヶ関キャ
349A,ＳＭ日本グ
3501,ＳＵＭＩＮＯＥ
350A,デジタルグ
3512,日フエルト
3513,イチカワ
351A,アクシスＩＴＰ
3521,テルマー湯ＨＤ
3524,日東網
3529,アツギ
352A,ＬＯＩＶＥ
3536,アクサスＨＤ
3537,昭栄薬品
3538,ウイルプラスＨ
3539,ＪＭＨＤ
3542,ＶＥＧＡ
3543,コメダ
3544,サツドラＨＤ
3546,アレンザＨＤ
3547,串カツ田中
3548,バロック
3549,クスリのアオキ
354A,ｉＦ高配５０
3550,スタジオアタオ
3551,ダイニック
3553,共和レザ
3556,リネットＪＰＮ
3557,Ｕ＆Ｃ
3558,ジェイドＧ
3559,ピーバン
355A,ナウビレッジ
3560,ほぼ日
3561,力の源ＨＤ
3562,Ｎｏ．１
3563,Ｆ＆ＬＣ
3565,アセンテック
3566,ユニネク
3569,セーレン
356A,ＧＸＳＰＣ１００
3571,ソトー
3577,東海染
357A,エフアンドエフ
3580,小松マテーレ
3583,オーベクス
358A,ゼン・ランド
3591,ワコールＨＤ
3593,ホギメディ
3597,自重堂
3598,山 喜
359A,ネクストステジ
3600,フジックス
3607,クラウディアＨ
3608,ＴＳＩ ＨＤ
360A,リートコア
3611,マツオカ
3612,ワールド
361A,リビングハウ
3622,ネットイヤー
3623,ビリングシス
3624,アクセルマーク
3625,テックファーム
3626,ＴＩＳ
3627,テクミラ
3628,データＨＲ
362A,エクシオＨＤ
3632,グリーＨＤ
3633,ＧＭＯペパ
3634,ソケッツ
3635,コーエーテクモ
3636,三菱総研
3639,ボルテージ
363A,ｉＦ英Ｆ１００
3640,電 算
3641,パピレス
3645,メディカネット
3646,駅 探
3647,ジースリーＨＤ
3648,ＡＧＳ
3649,ファインデクス
364A,Ｓ＆Ｐ５００配
3652,ＤＭＰ
3653,モルフォ
3656,ＫＬａｂ
3657,ポールＨＤ
3659,ネクソン
365A,伊澤タオル
3660,アイスタイル
3661,エムアップＨＤ
3662,エイチームＨＤ
3663,セルシス
3664,モブキャストＨ
3665,エニグモ
3667,ｅｎｉｓｈ
3668,コロプラ
366A,ウェルネスＣ
3670,協立情報
3671,ソフトマックス
3672,オルトプラス
3673,ブロドリーフ
3674,オークファン
3675,クロスマーケＧ
3676,デジハＨＤ
3678,メディアドゥ
3679,じげん
367A,プリモＧＨＤ
3680,ホットリンク
3681,ブイキューブ
3682,エンカレッジ
3683,サイバリンクス
3686,ＤＬＥ
3687,フィックスタース
368A,北里コーポ
3690,イルグルム
3691,デジプラス
3692,ＦＦＲＩ
3694,オプティム
3695,ＧＭＯ－ＰＰ
3696,セレス
3697,ＳＨＩＦＴ
3698,ＣＲＩ・ＭＷ
369A,エータイ
3708,特種東海
370A,リバイブル
3710,ジョルダン
3712,情報企画
3719,ＡＩストーム
371A,デージーネト
3723,ファルコム
3726,フォーシーズＨ
3727,ＡＰＬＩＸ
372A,レント
3733,ソフトウェアサー
373A,リップス
3741,セック
3744,サイオス
3747,インタトレード
374A,樋口総合
3750,ＡＤＲ１２０Ｓ
3753,フライト
3758,アエリア
375A,ＹＡＫＨＤ
3760,ケイブ
3762,テクマトリックス
3763,プロシップ
3765,ガンホー
3766,システムズＤ
3768,リスクモンスター
3769,ＧＭＯＰＧ
376A,米債７１０ヘ
3771,システムリサーチ
3772,ウェルス
3773,ＡＭＩ
3774,ＩＩＪ
3776,ブロバンタワ
3777,環境フレン
3778,さくら
3779,Ｊ・エスコムＨＤ
3787,テクノマセマティ
3788,ＧＭＯＧＳＨＤ
378A,ヒット
3791,ＩＧポート
3793,ドリコム
3796,いい生活
3798,ＵＬＳ－Ｇ
3799,キーウェア
379A,ＧＸＳＰＸプロ
3800,ユニリタ
3802,エコミック
3803,イメージＩＮＦ
3804,システムディ
3807,フィスコ
380A,ＧＸチャイナテク
3810,サイバーＳＨＤ
3815,メディ工房
3816,大和コン
3817,ＳＲＡＨＤ
381A,ｉＦ米債３５
3823,ＷＨＹＨＯＷＤＯ
3825,ＲＥＭＩＸ
3826,システムインテ
382A,ｉＦ米３５Ｈ
3834,朝日ネット
3835,ｅＢＡＳＥ
3836,アバントＧ
3837,アドソル
3839,ＯＤＫ
383A,ＭＸＳＳＰ５００
3840,ＰＡＴＨ
3841,ジーダット
3842,ネクストジェン
3843,フリービット
3844,コムチュア
3845,アイフリーク
3848,データアプリ
3850,ＮＴＴＤＩＭ
3851,日本一Ｓ
3853,アステリア
3854,アイル
3856,Ａｂａｌａｎｃｅ
3858,ユビキタスＡＩ
385A,山本通産
3861,王子ＨＤ
3863,日本紙
3864,三菱紙
3865,北越コーポ
386A,みのや
3877,中越パル
3878,巴川コーポ
387A,フラー
3880,大王紙
3891,高度紙
3892,岡山製紙
3895,ハビックス
3896,阿波製紙
389A,八光オート
3900,クラウドワクス
3901,マークラインズ
3903,ｇｕｍｉ
3904,カヤック
3905,データＳＥＣ
3907,シリコンスタシオ
3908,コラボス
3909,ショーケース
3910,エムケイシステム
3911,Ａｉｍｉｎｇ
3912,モバファク
3913,ＧｒｅｅｎＢｅｅ
3914,ＪＩＧ－ＳＡＷ
3915,テラスカイ
3916,ＤＩＴ
3917,アイリッジ
3918,ＰＣＩＨＤ
3920,アイビーシー
3921,ネオジャパン
3922,ＰＲＴＩＭＥＳ
3923,ラクス
3925,Ｄ Ｓ
3926,オープンドア
3927,フーバーブレ
3928,マイネット
3929,ソーシャルワイヤ
392A,ｉＳＱトップ
3930,はてな
3931,バリュゴルフ
3932,アカツキ
3933,チエル
3934,ベネフィットＪ
3935,エディア
3936,グロバルウェ
3937,Ｕｂｉｃｏｍ
3939,カナミックＮ
393A,ＲｉｔａＸ
3940,ノムラシステム
3941,レンゴー
3943,大石産業
3944,古林紙
3945,スパバック
3946,トーモク
3947,ダイナパック
3948,光ビジ
394A,業界テレビ
3950,ザ・パック
3951,朝日印刷
3953,大村紙業
3954,ＰＡＸＸＳ
3955,イムラ
3958,笹徳印刷
395A,業界地銀
3962,チェンジＨＤ
3963,シンクロフード
3964,オークネット
3965,ＣＡＰ
3967,エルテス
3968,セグエ
3969,エイトレッド
396A,業界ＲＥＩＴ
3970,イノベーション
3974,ＳＣＡＴ
3976,シャノン
3979,うるる
3981,ビーグリー
3983,オ ロ
3984,ユーザローカル
3985,テモナ
3986,ビーブレイク
3987,エコモット
3988,ＳＹＳＨＤ
3989,シェアリングＴ
398A,リアルクオリティ
3991,ウォンテッドリ
3992,ニーズウェル
3993,ＰＫＳＨＡ
3994,マネフォワード
3996,サインポスト
3997,トレードワクス
3998,すららＮＴ
399A,上日高５０
4004,レゾナックＨＤ
4005,住友化
4008,住精化
4011,ヘッドウォータ
4012,アクシス
4013,勤次郎
4014,カラダノート
4015,ペイクラウド
4016,ＭＩＴＨＤ
4017,クリーマ
4019,スタメン
401A,霞ヶ関ホテ
4020,ビートレンド
4021,日産化
4022,ラサ工
4023,クレハ
4025,多木化
4026,神島化
4027,テイカ
4028,石原産
402A,アクセルスペ
4031,片倉コープ
403A,北條組
4040,南海化学
4041,日曹達
4042,東ソー
4043,トクヤマ
4044,セ硝子
4045,東亜合成
4046,大阪ソーダ
4047,関電化
404A,ＧＸ中国１０
4051,ＧＭＯ－ＦＧ
4052,フィーチャ
4053,サンアスタリスク
4054,日本情報
4055,ティアンドエス
4056,ニューラル
4057,インタファクトリ
4058,トヨクモ
4059,まぐまぐ
405A,コヤマ・ミライエ
4060,ｒａｋｕｍｏ
4061,デンカ
4062,イビデン
4063,信越化
4064,カーバイド
4068,ベイシス
4069,ＢｌｕｅＭｅｍｅ
406A,環境ミカタＨ
4071,プラスアルファ
4072,電算シスＨＤ
4073,ジィ・シィ企
4074,ラキール
4075,ブレインズ
4076,シイエヌエス
4078,堺化学
407A,ＵＮＩＣＯＮＨＤ
4082,稀元素
4088,エア・ウォーター
408A,ｉＳベストＡＩ
4091,日本酸素
4092,日本化
4093,東邦アセチレ
4094,日化産
4095,パーカライ
4097,高圧ガス
4098,チタン工
4099,四国化ＨＤ
409A,オリオンビール
4100,戸田工
4102,丸尾カル
4107,伊勢化
4109,ステラケミファ
410A,ＧＭＯコマース
4112,保土谷
4113,田岡化
4114,日触媒
4116,大日精
4118,カネカ
4119,ピグメントＨ
411A,マリタイムバン
4120,スガイ化
4124,大阪油化
4125,三和油化
412A,台湾テク５０
413A,ｉＦ台湾テク
414A,オーバラップ
4151,協和キリン
415A,ＧＭＯＴＥ－ＨＤ
4165,プレイド
4166,かっこ
4167,ココペリ
4168,ヤプリ
4169,エネチェンジ
416A,富士ユナイト
4170,ＫａｉｚｅｎＰＦ
4171,グローバルＩ
4172,Ｈｉクラテス
4174,アピリッツ
4175,ｃｏｌｙ
4176,ココナラ
4177,ｉ－ｐｌｕｇ
4178,Ｓイノベション
4179,ジーネクスト
417A,ブルーゾーン
4180,Ａｐｐｉｅｒ
4182,三菱ガス
4183,三井化学
4186,応化工
4187,大有機
4188,三菱ケミＧ
4189,ＫＨネオケム
4192,スパイダーＰ
4193,ファブリカＨＤ
4194,ビジョナル
4196,ネオマーケ
4197,アスマーク
4198,テンダ
4199,ワンプラ
419A,ラングローブ
4202,ダイセル
4203,住友ベ
4204,積水化
4205,ゼオン
4206,アイカ工
4208,ＵＢＥ
4212,積水樹
4216,旭有機材
4218,ニチバン
421A,ムービン
4220,リケンテクノス
4221,大倉工
4222,児玉化
4224,ロンシル工
4228,積化成
4229,群栄化
422A,ｔａｎｅ－Ｃ
4231,タイガポリ
4234,サンエー化研
4235,ＵＦＨＤ
4237,フジプレアム
4238,ミライアル
423A,ライオン事務
4240,クラスターテクノ
4241,アテクト
4242,タカギセイコー
4243,ニックス
4245,ダイキアクシス
4246,ＤＮＣ
4247,ポバール興
4248,竹本容器
4249,森 六
424A,ＧＸゴルドＨ
4251,恵 和
4255,ＴＨＥＣＯＯ
4256,サインド
4258,網 屋
4259,エクサウィザー
425A,ＧＸゴールド
4260,ハイブリテク
4261,アジアクエスト
4262,ニフティライフ
4263,サスメド
4264,セキュア
4265,ＩＧＳ
426A,ＳＰ５００Ｈ無
4270,ＢｅｅＸ
4272,日化薬
4274,細谷火
4275,カーリット
4284,ソルクシーズ
4286,ＣＬＨＤ
4287,ジャストプラ
4288,アズジェント
428A,サイプレスＨＤ
4290,Ｐ Ｉ
4293,セプテーニＨＤ
4299,ハイマックス
429A,テクセンド
4301,アミューズ
4307,ＮＲＩ
4308,Ｊストリーム
430A,ネクストハンズ
4310,Ｄ Ｉ
4316,ビーマップ
4317,レ イ
4318,クイック
431A,ユーソナー
4320,ＣＥＨＤ
4323,日シス技術
4324,電通Ｇ
4326,インテージＨＤ
432A,クリニファー
4331,Ｔ＆Ｇニーズ
4334,ユークス
4335,ＩＰＳＨＤ
4337,ぴ あ
433A,ＭＪＥ
4341,西菱電機
4343,ファンタジー
4344,ソースネクスト
4345,シーティーエス
4346,ＮＥＸＹＺ．Ｇ
4347,ブロメディア
434A,ＬＯＯＰＬＡＣＥ
4350,メディカルシス
4351,山田債権
4356,応用技術
435A,ｉＦ日配ロテ
4360,マナックケミカル
4361,川口化
4362,日精化
4365,松本油
4366,ダイトーケミ
4367,広栄化学
4368,扶桑化学
4369,トリケミカル
436A,サイバーＳＯＬ
4370,モビルス
4371,ＣＣＴ
4372,ユミルリンク
4373,シンプレクスＨ
4374,ロボペイ
4375,セーフィー
4376,くふうＣ
4377,ワンキャリア
4378,ＣＩＮＣ
4379,フォトシンス
437A,ジェイウェイ
4380,Ｍマート
4381,ビープラッツ
4382,ＨＥＲＯＺ
4384,ラクスル
4385,メルカリ
4386,ＳＩＧ Ｇ
4387,ＺＵＵ
4388,エーアイ
4389,プロパティＤ
438A,インフキュリオン
4390,ｉｐｓ
4391,ロジザード
4392,ＦＩＧ
4393,バンクイノベ
4394,エクスモーション
4395,アクリート
4396,システムサポＨ
4397,チームスピリト
4398,ＢＢＳｅｃ
439A,アクトビ
4401,ＡＤＥＫＡ
4403,日 油
4404,ミヨシ
4406,日理化
4409,東邦化
4410,ハリマ化成Ｇ
4412,サイエンスアーツ
4413,ボードルア
4414,フレクト
4415,ブロドエンタ
4416,ＴｒｕｅＤａｔａ
4417,グローセキュ
4418,ＪＤＳＣ
4419,Ｆｉｎａｔｅｘｔ
441A,Ｎ Ｅ
4420,イーソル
4421,ＤＩシステム
4422,ＶＡＬＵＥＮＥＸ
4424,Ａｍａｚｉａ
4425,Ｋｕｄａｎ
4426,パスロジ
4427,ＥｄｕＬａｂ
4428,シノプス
4429,リックソフト
442A,クラシコ
4430,東海ソフト
4431,スマレジ
4432,ウイングアーク
4433,ヒトコムＨＤ
4434,サーバーワクス
4436,ミンカブ
4437,ＧＤＨ
4438,Ｗｅｌｂｙ
4439,東 名
443A,ｉＦＪリート２
4440,ヴィッツ
4441,トビラシステム
4442,バルテスＨＤ
4443,Ｓａｎｓａｎ
4444,インフォネット
4445,リビンＴ
4446,Ｌｉｎｋ－ＵＧ
4447,ＰＢシステムズ
4448,ｋｕｂｅｌｌ
4449,ギフティ
444A,アイテル
4450,ＰＳＯＬ
4452,花 王
445A,東洋コーポ
4461,一工薬
4462,石原ケミカル
4463,日華化学
4464,ソフト９９
4465,ニイタカ
446A,ノースサンド
4471,三洋化
4475,ＨＥＮＮＧＥ
4476,ＡＩ ＣＲＯＳＳ
4477,ＢＡＳＥ
4478,フリー
4479,マクアケ
447A,ＳＳゴルヘ無
4480,メドレー
4481,ベース
4482,ウィルズ
4483,ＪＭＤＣ
4484,ランサーズ
4486,ユナイト＆グロ
4487,スペースマーケ
4488,ＡＩｉｎｓｉｄｅ
448A,ＳＳゴルヘ有
4490,ビザスク
4491,Ｃマネジメント
4492,ゼネテック
4493,サイバセキュリ
4494,バリオセキュア
4495,アイキューブ
4496,コマースワン
4498,サイバトラスト
4499,Ｓｐｅｅｅ
449A,ＳＳＳＰヘ無
4502,武 田
4503,アステラス薬
4506,住友ファーマ
4507,塩野義
450A,ＳＳＳＰヘ有
4512,ワカモト
4516,日本新薬
4519,中外薬
451A,ＳＳＳＰ高配
4521,科研薬
4523,エーザイ
4524,仁 丹
4526,理ビタミン
4527,ロート
4528,小野薬
452A,ｉＳＳＰカバコ
4530,久光薬
4531,有機薬
4534,持田薬
4536,参天薬
4538,扶桑薬
4539,日ケミファ
453A,ｉＳ米カバコ
4540,ツムラ
4543,テルモ
4544,ＨＵグループ
4547,キッセイ薬
4548,生化学
4549,栄研化
4552,ＪＣＲファーマ
4553,東和薬品
4554,富士製薬
4556,カイノス
4558,中京医薬
4559,ゼリア新薬
455A,バリューソフト
4563,アンジェス
4564,ＯＴＳ
4565,ネクセラファーマ
4568,第一三共
4569,杏林製薬
456A,ヒューマンメイト
4570,免疫生物
4571,ＮＡＮＯ
4572,カルナバイオ
4574,大幸薬品
4575,ＣＡＮＢＡＳ
4576,ＤＷＴＩ
4577,ダイト
4578,大塚ＨＤ
4579,ラクオリア
457A,ルリアン
4582,シンバイオ
4583,カイオム
4584,キッズバイオ
4586,メドレックス
4587,ペプチド
4588,オンコリス
458A,プラン・ドゥ
4591,リボミック
4592,サンバイオ
4593,ヘリオス
4594,ブライトパス
4595,ミズホメディ
4596,窪田製薬
4597,ソレイジア
4598,ＤＥＬＴＡ－Ｐ
4599,ステムリム
459A,Ｎ高利Ｊリト
460A,ＢＲＡＮＵ
4611,大日塗
4612,日ペイントＨ
4613,関西ペ
4615,神東塗
4616,川上塗
4617,中国塗
4619,日特塗
461A,ＭＸ日高ＳＭ
4620,藤倉化
4623,アサヒペン
4624,イサム塗
4625,アトミクス
4626,太陽ＨＤ
4627,ナトコ
4628,エスケー化研
4629,大伸化学
462A,ファンディーノ
4631,ＤＩＣ
4633,サカタインクス
4634,ａｒｔｉｅｎｃｅ
4635,東インキ
463A,インテリックスＨ
4641,アルプス技
4642,オリジナル設
4644,イマジニア
4645,市進ＨＤ
464A,ＱＰＳＨＤ
4650,ＳＤエンター
4651,サニックスＨＤ
4657,環境管理
4658,日本空調
4659,エイジス
465A,ＧＸ日経還
4661,ＯＬＣ
4662,フォーカスＳ
4664,ＲＳＣ
4665,ダスキン
4666,パーク２４
4667,アイサンテクノロ
4668,明光ネット
466A,ＧＸ防衛テク
4671,ファルコＨＤ
4673,川崎地質
4674,クレスコ
4676,フジＨＤ
4678,秀 英
4679,田 谷
467A,ＧＸＵＳ債Ｈ
4680,ラウンドワン
4681,リゾートトラス
4684,オービック
4685,菱友システム
4686,ジャストシステ
4687,ＴＤＣソフト
4689,ＬＩＮＥヤフー
468A,ＧＸＵＳ社債
4691,ワシントンホテル
4694,ＢＭＬ
469A,フィットクルー
4704,トレンド
4705,クリップ
4707,キタック
4709,ＩＤＨＤ
470A,ローカル
4712,ＫｅｙＨ
4714,リソー教育Ｇ
4716,日本オラクル
4718,早稲アカ
4719,アルファシステム
471A,ＮＳグループ
4720,城南進研
4722,フューチャー
4725,ＣＡＣＨＤ
4728,トーセ
472A,ミラティブ
4732,ユー・エス・エス
4733,ＯＢＣ
4735,京 進
4736,日本ラッド
473A,ＮＡＭ日経
4743,ＩＴＦＯＲ
4746,東計電算
4750,ダイサン
4751,サイバエージ
4752,昭和システム
4754,トスネット
4755,楽天Ｇ
475A,ギミック
4760,ＡＬＰＨＡ
4761,サクラＫＣＳ
4762,エックスネット
4763,クリーク＆リバ
4765,ＳＢＩＧアセット
4766,ピーエイ
4767,ＴＯＷ
4768,大塚商
4769,Ｉ Ｃ
476A,辻・本郷
4771,エフアンドエム
4772,ＳＭ ＥＮＴＥＲ
4776,サイボウズ
4777,ガーラ
477A,スタートライン
4783,ＮＣＤ
4784,ＧＭＯインター
478A,フツパー
4792,山田コンサル
479A,ＰＲＯＮＩ
4800,オリコン
4801,セントラルＳＰ
4809,パラカ
480A,リブコンサル
4811,ドリームアーツ
4812,電通総研
4813,ＡＣＣＥＳＳ
4814,ネクストウェア
4816,東映アニメ
4819,Ｄガレージ
481A,Ｊセキュリティ
4820,ＥＭシステムズ
4825,ＷＮＩウェザー
4826,ＣＩＪ
4828,ビーエンジ
4829,日本エンタ
4832,ＪＦＥ－ＳＩ
4833,Ｄｅｆコンサル
4838,ＳＳＳＫ ＨＤ
4839,ＷＯＷＯＷ
483A,テラテクノロジ
4840,トライアイズ
4845,スカラ
4847,インテリＷ
4848,フルキャストＨＤ
4849,エ ン
484A,ニューズドテ
485A,パワーエックス
486A,ＳＴＯＸＸヘ無
4875,メディシノバ
487A,ＤＡＸヘ無
4880,セルソース
4881,ファンペップ
4882,ペルセウス
4883,モダリス
4884,クリングル
4885,室町ケミカル
4886,あすかＨＤ
4887,サワイＧＨＤ
4888,ステラファーマ
4889,レナサイエンス
488A,ｉＳ円高フォ
4890,坪田ラボ
4891,ティムス
4892,サイフューズ
4893,ノイルイミューン
4894,クオリプス
4896,ケイファーマ
489A,物流フォーカ
4901,富士フイルム
4902,コニカミノルタ
490A,センス・トラスト
4911,資生堂
4912,ライオン
4914,高砂香
4917,マンダム
4918,アイビー
4919,ミルボン
491A,#N/A
4920,日本色材
4922,コーセーＨＤ
4923,コ タ
4925,ＨＡＢＡ
4926,シーボン
4927,ポーラオルＨＤ
4928,ノエビアＨＤ
4929,アジュバンＨ
492A,#N/A
4931,新日製薬
4932,アルマード
4933,Ｉｎｅ
4934,Ｐアンチエイジ
4935,リベルタ
4936,アクシージア
4937,Ｗａｑｏｏ
493A,#N/A
494A,#N/A
4951,エステー
4956,コニシ
4958,長谷川香
495A,#N/A
4960,ケミプロ
4966,上村工業
4967,小林製薬
4968,荒川化学
496A,#N/A
4970,東洋合成
4971,メック
4972,綜研化学
4973,高純度化
4974,タカラバイオ
4975,ＪＣＵ
4976,ドライルーブ
4977,ニッタゼラチン
4978,リプロセル
4979,ＯＡＴアグリオ
497A,#N/A
4980,デクセリアルス
4985,アース製薬
498A,#N/A
4990,昭和化
4992,北興化
4994,大成ラミクＧ
4996,クミアイ化
4997,日農薬
4998,フマキラー
499A,#N/A
500A,#N/A
5010,日精蝋
5011,ニチレキＧ
5013,ユシロ
5015,ＢＰカストロール
5016,ＪＸ金属
5018,ＭＯＲＥＳＣＯ
5019,出光興産
501A,#N/A
5020,ＥＮＥＯＳ
5021,コスモエネＨＤ
5022,レボインター
5025,マーキュリー
5026,トリプルアイス
5027,ＡｎｙＭｉｎｄ
5028,セカンドサイト
5029,サークレイス
502A,#N/A
5031,モ イ
5032,ＡＮＹＣＯＬＯＲ
5033,ヌーラボ
5034,ｕｎｅｒｒｙ
5035,ＨＯＵＳＥＩ
5036,日ビジシス
5037,フィットワークス
5038,ｅＷｅＬＬ
503A,#N/A
504A,#N/A
505A,#N/A
506A,#N/A
5071,ヴィス
5072,アートフォース
5074,テスＨＤ
5076,インフロニアＨＤ
50765,#N/A
5077,ハンズ
5078,セレコーポ
5079,ノバック
507A,#N/A
509A,#N/A
5101,浜ゴム
5103,昭和ＨＤ
5105,ＴＯＹＯＴＩＲＥ
5108,ブリヂストン
510A,#N/A
5110,住友ゴム
511A,#N/A
5121,藤コンポ
5122,オカモト
5125,ファインズ
5126,ポーターズ
5129,ＦＩＸＥＲ
512A,#N/A
5130,ヒロＨＤ
5131,リンカーズ
5132,ｐｌｕｓｚｅｒｏ
5133,テリロジーＨＤ
5134,ＰＯＰＥＲ
5135,ＡＩＲ－Ｕ
5136,ｔｒｉｐｌａ
5137,スマートドライ
5138,Ｒｅｂａｓｅ
5139,オープンワーク
513A,#N/A
5142,アキレス
514A,#N/A
515A,#N/A
5161,西川ゴム
5162,朝日ラバー
516A,#N/A
517A,#N/A
5184,ニチリン
5185,フコク
5186,ニッタ
5187,クリエート
5189,桜ゴム
518A,#N/A
5192,三星ベ
5194,相模ゴム
5195,バンドー
5199,不二ラテ
519A,#N/A
5201,ＡＧＣ
5202,板硝子
5204,石塚硝
5208,有沢製
520A,#N/A
5210,日山村硝
5214,日電硝
5216,倉 元
5218,オハラ
521A,#N/A
522A,#N/A
5232,住阪セメ
5233,太平洋セメ
5237,ノザワ
523A,#N/A
5240,ｍｏｎｏＡＩ
5242,アイズ
5243,ｎｏｔｅ
5244,ｊｉｇ．ｊｐ
5246,ＥＬＥＭＥＮＴＳ
5247,ＢＴＭ
5248,テクノロジー
5249,あさかわ
524A,#N/A
5250,プライムストラ
5251,ウイズ・ワン
5252,日ナレッジ
5253,カバー
5254,Ａｒｅｎｔ
5255,モンスターラボ
5256,Ｆｕｓｉｃ
5257,ノバシステム
5258,ＴＭＮ
525A,#N/A
5261,リソル
5262,日ヒューム
5268,旭コンクリ
5269,日本コン
526A,#N/A
5271,トーヨーアサノ
5273,三谷セキ
5279,日興業
527A,#N/A
5280,ヨシコン
5282,ジオスター
5283,高見澤
5284,ヤマウＨＤ
5285,ヤマックス
5287,イトーヨーギョ
5288,アジアパイル
528A,#N/A
5290,ベルテクス
5301,東海カーボ
5302,日カーボン
5304,ＳＥＣカーボン
530A,#N/A
5310,東洋炭素
531A,#N/A
532A,#N/A
5331,ノリタケ
5332,ＴＯＴＯ
5333,ガイシ
5334,特殊陶
5337,ダントーＨＤ
533A,#N/A
5341,ＡＳＡＨＩＥＩＴ
5344,ＭＡＲＵＷＡ
534A,#N/A
5351,品川リフラ
5355,ルツボ
5356,美濃窯業
5357,ヨータイ
535A,#N/A
5363,ＴＹＫ
5367,ニッカトー
5368,日インシュレ
536A,#N/A
537A,#N/A
5380,新 東
5381,マイポックス
5384,フジミインコ
5388,クニミネ工
538A,#N/A
5391,Ａ＆ＡＭ
5393,ニチアス
539A,#N/A
5401,日本製鉄
5406,神戸鋼
5408,中山鋼
540A,#N/A
5410,合同鉄
5411,ＪＦＥ
541A,#N/A
5423,東製鉄
542A,#N/A
543A,#N/A
5440,共英製鋼
5444,大和工
5445,東京鉄
5446,北越メタル
5449,大阪製鉄
544A,#N/A
5451,ヨドコウ
5458,高砂鉄
545A,#N/A
5461,中部鋼
5463,丸一管
5464,モリ工業
546A,#N/A
5471,大特鋼
547A,#N/A
5480,冶金工
5482,愛知鋼
5484,東北鋼
548A,#N/A
5491,日金属
549A,#N/A
550A,#N/A
551A,#N/A
5525,フロンティアＨＤ
5527,ｐｒｏｐｅｔｅｃ
5528,フロンティアＨＳ
552A,#N/A
5531,中山不動
5532,リアルゲイト
5533,エリッツＨＤ
5534,エンゼルＧ
5535,ミガロＨＤ
5536,京橋アート
5537,ＡｌｂａＬｉｎｋ
5541,大平金
5542,新報国マテ
554A,#N/A
555A,#N/A
5563,新日電工
556A,#N/A
5570,ジェノバ
5571,エキサイトＨＤ
5572,リッジアイ
5573,働楽ＨＤ
5574,ＡＢＥＪＡ
5575,Ｇｌｏｂｅｅ
5576,オービーシステ
5578,ＡＲアドバン
557A,#N/A
5580,プロディライ
5581,カイテクノロジ
5582,グリッド
5584,ストロベリｊａ
